concept,count,values
properties.keywords.value,3,"[24.75, 54.27, 100]"
properties.title,3,"['NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05', 'NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17', 'NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29']"
properties.license.licenseId,3,['unlicensed']
properties.waterCover,3,['0']
properties.produced,3,"['2021-12-14T20:35:44Z', '2021-12-14T20:53:31Z', '2021-12-14T21:01:51Z']"
properties.description,3,[None]
properties.keywords.id,3,"['0ef226ac8b22377', '0ff695ea046a59b', '12ea3ae8c42bdf2', '16ba1fe621da166', '1a5360854a016c9', '26d36db2370527a', '2f4987ace48d7b2', '354645f86821044', '37b6d22fe6814f3', '5b233c88bcdfbd9', '76a5acbcaa8a672', '772e93bb1d09234', '7b7e4f2e3af6185', '8b5a58e0260f96d', '8f43f01f9586bac', '97457abe200b231', '9c7619f981ffe3a', 'a0953b56ab43ddf', 'a0e4a10aa754ab4', 'a51ef38723afbff', 'a79d36dd833540d', 'a9bca31795f4564', 'b1bd83dbedb661c', 'c63cbdca85f9c2e', 'd3984cb515de301', 'd8c5d929951e445', 'e1b71d99878ab96', 'e3aceeda64e9035', 'ef5bc506e8bc6b8']"
properties.license.grantedFlags,3,[None]
properties.published,3,"['2023-11-17T15:19:22Z', '2023-11-17T15:23:23Z', '2023-11-17T15:37:22Z']"
properties.instrument,3,['SENTINEL-1 C-SAR']
properties.license.description.shortName,3,['No license']
geometry.coordinates,3,"[[[-99.300972457, 38.414859772], [-95.308747041, 38.414859772], [-95.308747041, 32.807077508], [-99.300972457, 32.807077508], [-99.300972457, 38.414859772]]]"
properties.centroid.type,3,['Point']
properties.orbitNumber,3,[None]
properties.productValidity,3,['VALID']
geometry.type,3,['Polygon']
type,3,['Feature']
properties.sensorMode,3,['IW']
properties.license.viewService,3,['public']
properties.services.browse.title,3,['Display full resolution product on map']
properties.cloudCover,3,[None]
properties.license.signatureQuota,3,[-1]
